End_Lat,End_Lng
39.05753,-84.54183
39.280307,-80.280756
38.36387,-81.73867
40.0122,-82.90727
41.53898,-81.63629
41.16093,-81.46962
39.517216,-82.025802
39.52352,-82.02361
40.325909,-83.071612
41.75381,-85.43421
39.14305,-84.48184
39.82115,-85.77004
41.12877,-81.65219
40.11036,-83.15869
40.121827,-83.151367
41.57615,-81.55346
40.11036,-83.15869
40.121616,-83.151314
41.04453,-81.69229
41.40753,-81.63808
39.26678,-84.35626
39.28615,-84.56214
39.94817,-82.21895
39.1765,-84.48757
39.1737,-84.49092
39.94817,-82.21895
39.94817,-82.21895
41.68548,-83.5675
41.66683,-83.56736
39.26717,-84.34628
41.47865,-81.6931
39.95816,-80.76231
39.98564,-80.73999
41.57785,-81.54899
38.32603,-83.12193
38.25962,-85.76688
38.293235,-85.654685
39.75639,-83.30702
41.53926,-81.63026
39.08809,-84.52274
38.25846,-85.7632
41.55022,-81.60536
39.02297,-84.51624
41.06477,-81.57343
40.49463,-80.01246
41.49153,-81.67114
39.93172,-82.92729
41.42065,-81.81108
41.06477,-81.57343
40.82802,-81.39715
41.41817,-81.81767
41.14226,-85.13611
41.13355,-85.13584
38.870401,-84.624431
41.47954,-81.65531
40.29313,-80.16943
39.14667,-84.45367
41.14589,-81.47551
39.14981,-84.44584
39.81978,-84.18983
39.83889,-84.18975
41.47023,-81.74188
39.17376,-84.47992
39.10234,-84.498
41.49922,-81.67178
39.12338,-84.53557
41.47865,-81.6931
39.97672,-83.12431
39.85816,-84.27955
39.25235,-84.36476
38.31682,-85.57698
39.24591,-84.36599
39.29429,-84.36989
39.13454,-84.53289
41.46101,-81.49124
39.29367,-84.31562
39.26717,-84.34628
38.20732,-85.75066
40.26907,-82.92694
41.47957,-81.66823
39.08887,-84.52271
41.6882,-83.64064
40.04638,-82.99752
39.86554,-84.06065
38.418107,-82.286279
41.47414,-81.699832
41.47418,-81.695816
40.10307,-83.12989
40.053618,-80.676385
